Wall time,Step,Value
1700655721.9785323,481600,-297.394775390625
1700655750.0309875,482400,-285.6533508300781
1700655775.5432832,483200,-282.4001159667969
1700655802.2354841,484000,-276.4437255859375
1700655827.569429,484800,-279.3403015136719
1700655854.6308217,485600,-283.4571838378906
1700655882.2885535,486400,-281.87750244140625
1700655907.7151957,487200,-275.8631896972656
1700655933.453077,488000,-275.85931396484375
1700655960.492291,488800,-279.99920654296875
1700656016.6080923,490400,-266.8932189941406
1700656045.731329,491200,-260.8856506347656
1700656073.3087046,492000,-255.07675170898438
1700656100.7390954,492800,-261.31134033203125
1700656127.187269,493600,-251.03041076660156
1700656154.9337444,494400,-246.464599609375
1700656182.1681228,495200,-249.5568389892578
1700656211.063617,496000,-252.5317840576172
1700656239.061279,496800,-256.3306579589844
1700656266.0266883,497600,-263.9914855957031
1700656292.2633991,498400,-265.8256530761719
1700656320.4081264,499200,-255.55245971679688
1700656376.974987,500800,-249.61695861816406
1700656404.2335157,501600,-256.9228515625
1700656431.8454883,502400,-248.94590759277344
1700656459.489723,503200,-235.71298217773438
1700656488.0022733,504000,-231.15725708007812
1700656568.6310232,506400,-216.6922149658203
1700656597.0196784,507200,-223.33619689941406
1700656625.4754622,508000,-219.4660186767578
1700656652.2178068,508800,-219.22401428222656
1700656680.7064686,509600,-224.02938842773438
1700656709.268735,510400,-227.36280822753906
1700656766.6072168,512000,-229.5388641357422
1700656792.898159,512800,-236.91741943359375
1700656819.3762238,513600,-250.73471069335938
1700656849.216,514400,-264.3778381347656
1700656875.3310294,515200,-265.3871154785156
1700656902.6006699,516000,-260.7198486328125
1700656930.756115,516800,-256.7821044921875
1700656957.3427417,517600,-258.34600830078125
1700657011.1283267,519200,-257.5107421875
1700657038.0045176,520000,-262.8033752441406
1700657093.1344604,521600,-258.01495361328125
1700657121.0676978,522400,-269.5393981933594
1700657149.6535902,523200,-272.24017333984375
1700657178.300478,524000,-275.7358093261719
1700657205.3174827,524800,-263.53363037109375
1700657291.180241,527200,-273.20245361328125
1700657320.9085147,528000,-280.1348876953125
1700657348.443114,528800,-282.6974182128906
1700657377.0655334,529600,-280.3604431152344
1700657433.9940739,531200,-283.07696533203125
1700657489.1601284,532800,-274.9949951171875
1700657542.9752538,534400,-276.0734558105469
1700657598.6988688,536000,-278.33428955078125
1700657625.920422,536800,-272.4877624511719
1700657651.93141,537600,-278.28662109375
1700657678.7875397,538400,-272.7196044921875
1700657706.220464,539200,-272.9897155761719
1700657762.4837584,540800,-273.0337829589844
1700657789.5709107,541600,-267.7238464355469
1700657818.0683026,542400,-265.6493835449219
1700657846.5750008,543200,-276.1221923828125
1700657874.7297502,544000,-283.7020263671875
1700657904.076204,544800,-287.56585693359375
1700657960.4935436,546400,-273.7394104003906
1700657988.137132,547200,-270.9892578125
1700658017.2403235,548000,-264.401611328125
1700658044.4745126,548800,-257.77044677734375
1700658097.4237077,550400,-258.87713623046875
1700658123.457521,551200,-262.5811767578125
1700658151.0062568,552000,-269.7716064453125
1700658178.4166157,552800,-271.7153625488281
1700658233.0750847,554400,-261.5791931152344
1700658262.1944566,555200,-256.89752197265625
1700658290.4824734,556000,-251.0531005859375
1700658317.1560166,556800,-247.4965362548828
1700658344.241086,557600,-237.05813598632812
1700658372.0651078,558400,-227.3562469482422
1700658399.4280577,559200,-220.24746704101562
1700658428.65667,560000,-216.7520294189453
1700658456.358009,560800,-219.32147216796875
1700658509.2148242,562400,-233.9410400390625
1700658536.2304616,563200,-229.74835205078125
1700658589.3981817,564800,-236.02694702148438
1700658617.1000235,565600,-250.52076721191406
1700658644.3945963,566400,-254.707275390625
1700658670.4736683,567200,-247.80963134765625
1700658697.5665507,568000,-258.8930969238281
1700658727.174644,568800,-261.0489501953125
1700658755.710423,569600,-260.20892333984375
1700658782.9887025,570400,-269.90362548828125
1700658811.1608398,571200,-261.64056396484375
1700658866.3359022,572800,-240.9456024169922
1700658892.0210443,573600,-234.00962829589844
1700658919.7560031,574400,-232.16278076171875
1700658945.957329,575200,-239.5384063720703
1700658973.2255113,576000,-235.71414184570312
1700659002.2226145,576800,-237.6071319580078
1700659028.479074,577600,-239.8647918701172
1700659054.6243272,578400,-243.66770935058594
1700659082.2645338,579200,-250.65394592285156
1700659107.081267,580000,-252.17916870117188
1700659134.865509,580800,-234.2239990234375
1700659163.3439097,581600,-234.0216064453125
1700659188.729991,582400,-235.1527862548828
1700659216.475336,583200,-238.57672119140625
1700659245.0061433,584000,-243.781005859375
1700659272.3509264,584800,-241.4183349609375
1700659301.2502158,585600,-232.80374145507812
1700659328.7300231,586400,-233.8201904296875
1700659357.179617,587200,-232.35047912597656
1700659385.606714,588000,-226.99620056152344
1700659414.4653652,588800,-215.565185546875
1700659442.7196982,589600,-209.21652221679688
1700659498.618312,591200,-199.226318359375
1700659526.7704923,592000,-202.94830322265625
1700659554.5998263,592800,-215.4095001220703
1700659609.7379453,594400,-216.2466278076172
1700659635.6474156,595200,-218.57994079589844
1700659663.576446,596000,-216.25839233398438
1700659690.9686909,596800,-215.8607177734375
1700659717.1795928,597600,-221.93312072753906
1700659849.4895065,601600,-233.7666778564453
1700659875.7104008,602400,-236.16896057128906
1700659903.941439,603200,-241.8607940673828
1700659956.3308027,604800,-242.91091918945312
1700659982.8350928,605600,-240.92095947265625
1700660009.7776313,606400,-239.2861328125
1700660037.320276,607200,-245.5301971435547
1700660065.979105,608000,-241.9171905517578
1700660119.3689382,609600,-263.67999267578125
1700660147.4759407,610400,-253.10317993164062
1700660173.6428826,611200,-263.09271240234375
1700660201.3344488,612000,-268.2067565917969
1700660228.1956127,612800,-263.4831237792969
1700660255.416303,613600,-271.61346435546875
1700660283.9929852,614400,-262.4378662109375
1700660310.9598544,615200,-250.72421264648438
1700660338.7070818,616000,-240.16192626953125
1700660366.9049807,616800,-243.6830291748047
1700660393.986549,617600,-247.52186584472656
1700660421.9956021,618400,-252.6794891357422
1700660449.0004568,619200,-260.8618469238281
1700660502.9065666,620800,-265.0472717285156
1700660529.888022,621600,-264.25408935546875
1700660559.5481434,622400,-262.943603515625
1700660583.7899315,623200,-267.5014953613281
1700660611.1432097,624000,-271.8459167480469
1700660639.056683,624800,-258.5838623046875
1700660666.7164207,625600,-267.176025390625
1700660694.0453174,626400,-270.1752624511719
1700660721.042272,627200,-272.8512878417969
1700660803.1198792,629600,-287.1954040527344
1700660830.5682385,630400,-293.65777587890625
1700660856.6747596,631200,-297.1097412109375
1700660884.5209403,632000,-305.46826171875
1700660910.6696596,632800,-309.61676025390625
1700660935.4989378,633600,-307.63006591796875
1700660989.1730607,635200,-322.3322448730469
1700661018.571716,636000,-342.6976623535156
1700661045.3684375,636800,-341.0517883300781
1700661072.5497468,637600,-337.30255126953125
1700661099.906851,638400,-338.2299499511719
1700661127.6831076,639200,-331.24298095703125
1700661157.1621108,640000,-333.283935546875
1700661183.255496,640800,-337.5650939941406
1700661237.759203,642400,-335.6905517578125
1700661264.018748,643200,-326.455322265625
1700661293.2444243,644000,-327.2626953125
1700661319.1837153,644800,-327.8466491699219
1700661343.7300556,645600,-325.25335693359375
1700661370.6699843,646400,-330.3121032714844
1700661397.8145275,647200,-335.0429992675781
1700661425.7508483,648000,-335.4817810058594
1700661452.7769837,648800,-332.4791259765625
1700661478.8825512,649600,-320.26885986328125
